Req. Creation Date,Creation Time,Req. Creation Date - Year Week ISO,Request - ID,Request - Priority Description,Historical Status - Status From,Historical Status - Status To,Historical Status - Change Date,Historical Status - Change Time,Macro Area - Name,Request - Resource Assigned To - GROUP SAP MD,Macro Area (SAP) - MA Area,Request - User Name,Request - Resource Assigned To - Name,Req. Type - Description EN,Req. Status - Description,Req. Closing Date,Request - Text Request,Request - Text Answer,Request - Category,Request - Subject description
2025-03-01,15:10:28,202509,A3194945L,P3 - Normal,Solved,Closed,2025-03-11,180404,SAP Tr-SalesAudit (POSDT)  SAP Retail (FMS1) NA,,USA,LAZARO OMAR,URKUNDE Shubham,Incident,Closed,2025-03-11,"Enter a description of your request: : 1LRA is missing Macys for 2/28. Would you be able to help us get Macys data for Friday (2/28)? Please see the attached pull from 1LRA missing Macys (SAP Attribute 3 - ""4"")..System (RP1/ CP1/ MIM) : SAP..Brand :Sunglass Hut..Country : Untied States..SAP Site # : https://bicorporate.luxottica.com/BOE/BI..SAP User ID : 334590","The issue has reported for missing sales for macys store. we checked and found the sales were processed on same date. Hence, we are closing this tikcet after user confirmation over a call. we had a call with user on this issue..",Sap Errors SAP Retail (FMS1) NA,PDM_POSDMS_US_XXX_XXXX: Missing transaction
2025-03-01,15:10:28,202509,A3194945L,P3 - Normal,Suspended,Work in progress,2025-03-05,141243,SAP Tr-SalesAudit (POSDT)  SAP Retail (FMS1) NA,,USA,LAZARO OMAR,URKUNDE Shubham,Incident,Closed,2025-03-11,"Enter a description of your request: : 1LRA is missing Macys for 2/28. Would you be able to help us get Macys data for Friday (2/28)? Please see the attached pull from 1LRA missing Macys (SAP Attribute 3 - ""4"")..System (RP1/ CP1/ MIM) : SAP..Brand :Sunglass Hut..Country : Untied States..SAP Site # : https://bicorporate.luxottica.com/BOE/BI..SAP User ID : 334590","The issue has reported for missing sales for macys store. we checked and found the sales were processed on same date. Hence, we are closing this tikcet after user confirmation over a call. we had a call with user on this issue..",Sap Errors SAP Retail (FMS1) NA,PDM_POSDMS_US_XXX_XXXX: Missing transaction
2025-03-01,15:10:28,202509,A3194945L,P3 - Normal,Suspended,Work in progress,2025-03-06,175708,SAP Tr-SalesAudit (POSDT)  SAP Retail (FMS1) NA,,USA,LAZARO OMAR,URKUNDE Shubham,Incident,Closed,2025-03-11,"Enter a description of your request: : 1LRA is missing Macys for 2/28. Would you be able to help us get Macys data for Friday (2/28)? Please see the attached pull from 1LRA missing Macys (SAP Attribute 3 - ""4"")..System (RP1/ CP1/ MIM) : SAP..Brand :Sunglass Hut..Country : Untied States..SAP Site # : https://bicorporate.luxottica.com/BOE/BI..SAP User ID : 334590","The issue has reported for missing sales for macys store. we checked and found the sales were processed on same date. Hence, we are closing this tikcet after user confirmation over a call. we had a call with user on this issue..",Sap Errors SAP Retail (FMS1) NA,PDM_POSDMS_US_XXX_XXXX: Missing transaction
2025-03-01,15:10:28,202509,A3194945L,P3 - Normal,To be defined,Work in progress,2025-03-03,144119,SAP Tr-SalesAudit (POSDT)  SAP Retail (FMS1) NA,,USA,LAZARO OMAR,URKUNDE Shubham,Incident,Closed,2025-03-11,"Enter a description of your request: : 1LRA is missing Macys for 2/28. Would you be able to help us get Macys data for Friday (2/28)? Please see the attached pull from 1LRA missing Macys (SAP Attribute 3 - ""4"")..System (RP1/ CP1/ MIM) : SAP..Brand :Sunglass Hut..Country : Untied States..SAP Site # : https://bicorporate.luxottica.com/BOE/BI..SAP User ID : 334590","The issue has reported for missing sales for macys store. we checked and found the sales were processed on same date. Hence, we are closing this tikcet after user confirmation over a call. we had a call with user on this issue..",Sap Errors SAP Retail (FMS1) NA,PDM_POSDMS_US_XXX_XXXX: Missing transaction
2025-03-01,15:10:28,202509,A3194945L,P3 - Normal,Work in progress,Pending For IT Check,2025-03-03,145112,SAP Tr-SalesAudit (POSDT)  SAP Retail (FMS1) NA,,USA,LAZARO OMAR,URKUNDE Shubham,Incident,Closed,2025-03-11,"Enter a description of your request: : 1LRA is missing Macys for 2/28. Would you be able to help us get Macys data for Friday (2/28)? Please see the attached pull from 1LRA missing Macys (SAP Attribute 3 - ""4"")..System (RP1/ CP1/ MIM) : SAP..Brand :Sunglass Hut..Country : Untied States..SAP Site # : https://bicorporate.luxottica.com/BOE/BI..SAP User ID : 334590","The issue has reported for missing sales for macys store. we checked and found the sales were processed on same date. Hence, we are closing this tikcet after user confirmation over a call. we had a call with user on this issue..",Sap Errors SAP Retail (FMS1) NA,PDM_POSDMS_US_XXX_XXXX: Missing transaction
2025-03-01,15:10:28,202509,A3194945L,P3 - Normal,Work in progress,Pending For IT Check,2025-03-03,165130,SAP Tr-SalesAudit (POSDT)  SAP Retail (FMS1) NA,,USA,LAZARO OMAR,URKUNDE Shubham,Incident,Closed,2025-03-11,"Enter a description of your request: : 1LRA is missing Macys for 2/28. Would you be able to help us get Macys data for Friday (2/28)? Please see the attached pull from 1LRA missing Macys (SAP Attribute 3 - ""4"")..System (RP1/ CP1/ MIM) : SAP..Brand :Sunglass Hut..Country : Untied States..SAP Site # : https://bicorporate.luxottica.com/BOE/BI..SAP User ID : 334590","The issue has reported for missing sales for macys store. we checked and found the sales were processed on same date. Hence, we are closing this tikcet after user confirmation over a call. we had a call with user on this issue..",Sap Errors SAP Retail (FMS1) NA,PDM_POSDMS_US_XXX_XXXX: Missing transaction
2025-03-01,15:10:28,202509,A3194945L,P3 - Normal,Work in progress,Solved,2025-03-06,180359,SAP Tr-SalesAudit (POSDT)  SAP Retail (FMS1) NA,,USA,LAZARO OMAR,URKUNDE Shubham,Incident,Closed,2025-03-11,"Enter a description of your request: : 1LRA is missing Macys for 2/28. Would you be able to help us get Macys data for Friday (2/28)? Please see the attached pull from 1LRA missing Macys (SAP Attribute 3 - ""4"")..System (RP1/ CP1/ MIM) : SAP..Brand :Sunglass Hut..Country : Untied States..SAP Site # : https://bicorporate.luxottica.com/BOE/BI..SAP User ID : 334590","The issue has reported for missing sales for macys store. we checked and found the sales were processed on same date. Hence, we are closing this tikcet after user confirmation over a call. we had a call with user on this issue..",Sap Errors SAP Retail (FMS1) NA,PDM_POSDMS_US_XXX_XXXX: Missing transaction
2025-03-01,15:10:28,202509,A3194945L,P3 - Normal,Work in progress,Suspended,2025-03-04,211436,SAP Tr-SalesAudit (POSDT)  SAP Retail (FMS1) NA,,USA,LAZARO OMAR,URKUNDE Shubham,Incident,Closed,2025-03-11,"Enter a description of your request: : 1LRA is missing Macys for 2/28. Would you be able to help us get Macys data for Friday (2/28)? Please see the attached pull from 1LRA missing Macys (SAP Attribute 3 - ""4"")..System (RP1/ CP1/ MIM) : SAP..Brand :Sunglass Hut..Country : Untied States..SAP Site # : https://bicorporate.luxottica.com/BOE/BI..SAP User ID : 334590","The issue has reported for missing sales for macys store. we checked and found the sales were processed on same date. Hence, we are closing this tikcet after user confirmation over a call. we had a call with user on this issue..",Sap Errors SAP Retail (FMS1) NA,PDM_POSDMS_US_XXX_XXXX: Missing transaction
2025-03-01,15:10:28,202509,A3194945L,P3 - Normal,Work in progress,Suspended,2025-03-05,161013,SAP Tr-SalesAudit (POSDT)  SAP Retail (FMS1) NA,,USA,LAZARO OMAR,URKUNDE Shubham,Incident,Closed,2025-03-11,"Enter a description of your request: : 1LRA is missing Macys for 2/28. Would you be able to help us get Macys data for Friday (2/28)? Please see the attached pull from 1LRA missing Macys (SAP Attribute 3 - ""4"")..System (RP1/ CP1/ MIM) : SAP..Brand :Sunglass Hut..Country : Untied States..SAP Site # : https://bicorporate.luxottica.com/BOE/BI..SAP User ID : 334590","The issue has reported for missing sales for macys store. we checked and found the sales were processed on same date. Hence, we are closing this tikcet after user confirmation over a call. we had a call with user on this issue..",Sap Errors SAP Retail (FMS1) NA,PDM_POSDMS_US_XXX_XXXX: Missing transaction
2025-03-02,10:39:59,202509,A3195877L,P3 - Normal,Assigned,Forwarded,2025-03-02,104439,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-12,"Good Morning.Kindly assist MIM added 2 Burberrys ,on 27/02/2025 opening MIM was 88 and no Burberry was sold on that day but on the 28/02/2025 opening MIM was 90.Daily sales and MiM print out attached.Thank you Woolworths Gateway..Get  Outlook for iOS",The Burberry is quantity is now balancing.,APPLICATION ISSUE,SCM_PDMPOL_ZA_SGH_A803 : MIM added 2 Burberry
2025-03-02,10:39:59,202509,A3195877L,P3 - Normal,Assigned,Work in progress,2025-03-03,195859,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-12,"Good Morning.Kindly assist MIM added 2 Burberrys ,on 27/02/2025 opening MIM was 88 and no Burberry was sold on that day but on the 28/02/2025 opening MIM was 90.Daily sales and MiM print out attached.Thank you Woolworths Gateway..Get  Outlook for iOS",The Burberry is quantity is now balancing.,APPLICATION ISSUE,SCM_PDMPOL_ZA_SGH_A803 : MIM added 2 Burberry
2025-03-02,10:39:59,202509,A3195877L,P3 - Normal,Forwarded,Assigned,2025-03-02,104442,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-12,"Good Morning.Kindly assist MIM added 2 Burberrys ,on 27/02/2025 opening MIM was 88 and no Burberry was sold on that day but on the 28/02/2025 opening MIM was 90.Daily sales and MiM print out attached.Thank you Woolworths Gateway..Get  Outlook for iOS",The Burberry is quantity is now balancing.,APPLICATION ISSUE,SCM_PDMPOL_ZA_SGH_A803 : MIM added 2 Burberry
2025-03-02,10:39:59,202509,A3195877L,P3 - Normal,Solved,Closed,2025-03-12,182324,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-12,"Good Morning.Kindly assist MIM added 2 Burberrys ,on 27/02/2025 opening MIM was 88 and no Burberry was sold on that day but on the 28/02/2025 opening MIM was 90.Daily sales and MiM print out attached.Thank you Woolworths Gateway..Get  Outlook for iOS",The Burberry is quantity is now balancing.,APPLICATION ISSUE,SCM_PDMPOL_ZA_SGH_A803 : MIM added 2 Burberry
2025-03-02,10:39:59,202509,A3195877L,P3 - Normal,Suspended,Work in progress,2025-03-07,182234,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-12,"Good Morning.Kindly assist MIM added 2 Burberrys ,on 27/02/2025 opening MIM was 88 and no Burberry was sold on that day but on the 28/02/2025 opening MIM was 90.Daily sales and MiM print out attached.Thank you Woolworths Gateway..Get  Outlook for iOS",The Burberry is quantity is now balancing.,APPLICATION ISSUE,SCM_PDMPOL_ZA_SGH_A803 : MIM added 2 Burberry
2025-03-02,10:39:59,202509,A3195877L,P3 - Normal,To be defined,Work in progress,2025-03-02,104409,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-12,"Good Morning.Kindly assist MIM added 2 Burberrys ,on 27/02/2025 opening MIM was 88 and no Burberry was sold on that day but on the 28/02/2025 opening MIM was 90.Daily sales and MiM print out attached.Thank you Woolworths Gateway..Get  Outlook for iOS",The Burberry is quantity is now balancing.,APPLICATION ISSUE,SCM_PDMPOL_ZA_SGH_A803 : MIM added 2 Burberry
2025-03-02,10:39:59,202509,A3195877L,P3 - Normal,Work in progress,Assigned,2025-03-02,104419,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-12,"Good Morning.Kindly assist MIM added 2 Burberrys ,on 27/02/2025 opening MIM was 88 and no Burberry was sold on that day but on the 28/02/2025 opening MIM was 90.Daily sales and MiM print out attached.Thank you Woolworths Gateway..Get  Outlook for iOS",The Burberry is quantity is now balancing.,APPLICATION ISSUE,SCM_PDMPOL_ZA_SGH_A803 : MIM added 2 Burberry
2025-03-02,10:39:59,202509,A3195877L,P3 - Normal,Work in progress,Solved,2025-03-07,182322,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-12,"Good Morning.Kindly assist MIM added 2 Burberrys ,on 27/02/2025 opening MIM was 88 and no Burberry was sold on that day but on the 28/02/2025 opening MIM was 90.Daily sales and MiM print out attached.Thank you Woolworths Gateway..Get  Outlook for iOS",The Burberry is quantity is now balancing.,APPLICATION ISSUE,SCM_PDMPOL_ZA_SGH_A803 : MIM added 2 Burberry
2025-03-02,10:39:59,202509,A3195877L,P3 - Normal,Work in progress,Suspended,2025-03-04,180546,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-12,"Good Morning.Kindly assist MIM added 2 Burberrys ,on 27/02/2025 opening MIM was 88 and no Burberry was sold on that day but on the 28/02/2025 opening MIM was 90.Daily sales and MiM print out attached.Thank you Woolworths Gateway..Get  Outlook for iOS",The Burberry is quantity is now balancing.,APPLICATION ISSUE,SCM_PDMPOL_ZA_SGH_A803 : MIM added 2 Burberry
2025-03-02,16:19:01,202509,A3196071L,P3 - Normal,Feedback received,Work in progress,2025-03-03,94544,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-10,"WARNING: EXTERNAL EMAIL....Boa tarde queria transferir um oculo que esta em stock mas nao conseguimos. Fotos com todos os dados em anexo...Good afternoon, I wanted to transfer an eyeglass that is in stock but we were unable to do so. Photos with alldata attached.","We can see that for the UPC - 889652340289 there is no stock available that is the reason you are not able to place a store to stores transfer order in FIORI. Once the stock is available, then you can try placing the order.",Toolkit - LPA,SCM_STR-TR_XX_GVS_K428 : Transferencia oculos Glasses transfer
2025-03-02,16:19:01,202509,A3196071L,P3 - Normal,Forwarded,Work in progress,2025-03-04,141005,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-10,"WARNING: EXTERNAL EMAIL....Boa tarde queria transferir um oculo que esta em stock mas nao conseguimos. Fotos com todos os dados em anexo...Good afternoon, I wanted to transfer an eyeglass that is in stock but we were unable to do so. Photos with alldata attached.","We can see that for the UPC - 889652340289 there is no stock available that is the reason you are not able to place a store to stores transfer order in FIORI. Once the stock is available, then you can try placing the order.",Toolkit - LPA,SCM_STR-TR_XX_GVS_K428 : Transferencia oculos Glasses transfer
2025-03-02,16:19:01,202509,A3196071L,P3 - Normal,Forwarded,Work in progress,2025-03-04,145114,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-10,"WARNING: EXTERNAL EMAIL....Boa tarde queria transferir um oculo que esta em stock mas nao conseguimos. Fotos com todos os dados em anexo...Good afternoon, I wanted to transfer an eyeglass that is in stock but we were unable to do so. Photos with alldata attached.","We can see that for the UPC - 889652340289 there is no stock available that is the reason you are not able to place a store to stores transfer order in FIORI. Once the stock is available, then you can try placing the order.",Toolkit - LPA,SCM_STR-TR_XX_GVS_K428 : Transferencia oculos Glasses transfer
2025-03-02,16:19:01,202509,A3196071L,P3 - Normal,Forwarded,Work in progress,2025-03-04,201318,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-10,"WARNING: EXTERNAL EMAIL....Boa tarde queria transferir um oculo que esta em stock mas nao conseguimos. Fotos com todos os dados em anexo...Good afternoon, I wanted to transfer an eyeglass that is in stock but we were unable to do so. Photos with alldata attached.","We can see that for the UPC - 889652340289 there is no stock available that is the reason you are not able to place a store to stores transfer order in FIORI. Once the stock is available, then you can try placing the order.",Toolkit - LPA,SCM_STR-TR_XX_GVS_K428 : Transferencia oculos Glasses transfer
2025-03-02,16:19:01,202509,A3196071L,P3 - Normal,Solved,Closed,2025-03-10,143211,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-10,"WARNING: EXTERNAL EMAIL....Boa tarde queria transferir um oculo que esta em stock mas nao conseguimos. Fotos com todos os dados em anexo...Good afternoon, I wanted to transfer an eyeglass that is in stock but we were unable to do so. Photos with alldata attached.","We can see that for the UPC - 889652340289 there is no stock available that is the reason you are not able to place a store to stores transfer order in FIORI. Once the stock is available, then you can try placing the order.",Toolkit - LPA,SCM_STR-TR_XX_GVS_K428 : Transferencia oculos Glasses transfer
2025-03-02,16:19:01,202509,A3196071L,P3 - Normal,Suspended,Feedback received,2025-03-02,174217,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-10,"WARNING: EXTERNAL EMAIL....Boa tarde queria transferir um oculo que esta em stock mas nao conseguimos. Fotos com todos os dados em anexo...Good afternoon, I wanted to transfer an eyeglass that is in stock but we were unable to do so. Photos with alldata attached.","We can see that for the UPC - 889652340289 there is no stock available that is the reason you are not able to place a store to stores transfer order in FIORI. Once the stock is available, then you can try placing the order.",Toolkit - LPA,SCM_STR-TR_XX_GVS_K428 : Transferencia oculos Glasses transfer
2025-03-02,16:19:01,202509,A3196071L,P3 - Normal,Suspended,Forwarded,2025-03-04,140853,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-10,"WARNING: EXTERNAL EMAIL....Boa tarde queria transferir um oculo que esta em stock mas nao conseguimos. Fotos com todos os dados em anexo...Good afternoon, I wanted to transfer an eyeglass that is in stock but we were unable to do so. Photos with alldata attached.","We can see that for the UPC - 889652340289 there is no stock available that is the reason you are not able to place a store to stores transfer order in FIORI. Once the stock is available, then you can try placing the order.",Toolkit - LPA,SCM_STR-TR_XX_GVS_K428 : Transferencia oculos Glasses transfer
2025-03-02,16:19:01,202509,A3196071L,P3 - Normal,Suspended,Forwarded,2025-03-04,144502,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-10,"WARNING: EXTERNAL EMAIL....Boa tarde queria transferir um oculo que esta em stock mas nao conseguimos. Fotos com todos os dados em anexo...Good afternoon, I wanted to transfer an eyeglass that is in stock but we were unable to do so. Photos with alldata attached.","We can see that for the UPC - 889652340289 there is no stock available that is the reason you are not able to place a store to stores transfer order in FIORI. Once the stock is available, then you can try placing the order.",Toolkit - LPA,SCM_STR-TR_XX_GVS_K428 : Transferencia oculos Glasses transfer
2025-03-02,16:19:01,202509,A3196071L,P3 - Normal,To be defined,Work in progress,2025-03-02,162936,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-10,"WARNING: EXTERNAL EMAIL....Boa tarde queria transferir um oculo que esta em stock mas nao conseguimos. Fotos com todos os dados em anexo...Good afternoon, I wanted to transfer an eyeglass that is in stock but we were unable to do so. Photos with alldata attached.","We can see that for the UPC - 889652340289 there is no stock available that is the reason you are not able to place a store to stores transfer order in FIORI. Once the stock is available, then you can try placing the order.",Toolkit - LPA,SCM_STR-TR_XX_GVS_K428 : Transferencia oculos Glasses transfer
2025-03-02,16:19:01,202509,A3196071L,P3 - Normal,Work in progress,Forwarded,2025-03-04,194428,SAP Tr-Logistics (SCM) SAP Retail (FMS1) NA,,USA,,Tushar Adit,Incident RETAIL,Closed,2025-03-10,"WARNING: EXTERNAL EMAIL....Boa tarde queria transferir um oculo que esta em stock mas nao conseguimos. Fotos com todos os dados em anexo...Good afternoon, I wanted to transfer an eyeglass that is in stock but we were unable to do so. Photos with alldata attached.","We can see that for the UPC - 889652340289 there is no stock available that is the reason you are not able to place a store to stores transfer order in FIORI. Once the stock is available, then you can try placing the order.",Toolkit - LPA,SCM_STR-TR_XX_GVS_K428 : Transferencia oculos Glasses transfer
